parent_id,id,comment,user_id,written_at,updated_at,depth,ranks_up,ranks_down,best_score,user_reputation,replies_count
,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT,"This kind of stuff should get an Obstruction of Justice charge. That is clearly the intent, and it's illegal.",u_WXQ8JG787VRG,2025-02-28 10:36:52,2025-04-03 06:15:23,0,229,30,865,235600,16
sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tgcltfpQi27GLNmHrUOaFeWLxM,I could easily see them all rounded up for conspiracy to obstruct justice. If anything ever happens to an agent because of their actions could lead to further charges.,u_sqYUHifjqQIg,2025-02-28 15:15:12,2025-03-09 12:09:52,1,104,20,817,81300,1
sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tgcltfpQi27GLNmHrUOaFeWLxM,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tifDcjclcDLHrxxq8JgZh2Vevh,You could easily see hll being a maga so what's your point 😂 ,u_4ORgYGQhvD2F,2025-03-01 08:34:56,2025-03-01 23:48:49,2,1,11,311,415310,0
sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2th0B385z6TmCHCK5RMz8Tbk4AA,"Even you Evan with your severe lack of knowledge about what is and isn't legal should know that if it was illegal, they'd be the ones getting arrested.",u_QPwywdVPbduK,2025-02-28 18:27:39,2025-03-02 06:23:38,1,7,3,538,44210,0
sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tgcRerhvPkuPYY9xhON490dmoE,That’s not the legal definition of obstruction.,u_LOri9YoQbGXN,2025-02-28 15:12:31,2025-03-01 21:28:44,1,12,23,517,10160,4
sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tgcRerhvPkuPYY9xhON490dmoE,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tghYITAVg5itZpOuZrvIC4YoPT,"Leave it to a democRAT to ""try"" and educate the rest of America.  What a dorQ. 🤡🤡🤡",u_4OPTBIBD6Xr1,2025-02-28 15:54:30,2025-03-02 10:28:38,2,14,8,477,119550,1
sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tghYITAVg5itZpOuZrvIC4YoPT,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tgkxJbZNBNQW9bMcVdzJTqnBle,I’m actually a conservative independent with a law degree. I even voted for Trump the first two times but not the last election. lol But go ahead and throw your temper tantrum and childlike insults. That will show me…,u_LOri9YoQbGXN,2025-02-28 16:22:29,2025-03-01 23:16:27,3,6,10,430,10160,3
sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tgkxJbZNBNQW9bMcVdzJTqnBle,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2th7bp8jBNGJqYJznMeshjXybfm,"From Trump U clearly... To have obstruction, you MUST disrupt the actual enforcement of law, not their presence in the area.  They would have to have specific knowledge of criminals in the area, which is difficult if not impossible to prove to call it obstruction.  --This has been tested many times in court with speed traps where people put up warnings (either signs or CB radio) indicating cops parked suspiciously along the roadway.  -- ",u_zRlO3VvCnhA7,2025-02-28 19:28:46,2025-03-01 07:44:20,4,1,1,518,443890,0
sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tgkxJbZNBNQW9bMcVdzJTqnBle,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2thdskRkujQMEPbmS1IhfPTWrow,None of which you can prove. Lol,u_6YOj1WqoHh52,2025-02-28 23:54:08,2025-03-01 14:16:05,4,0,1,318,417510,0
sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tgkxJbZNBNQW9bMcVdzJTqnBle,sp_Rba9aFpG_dbbb2bf8-cd4f-3654-8dca-15995b2ba7af_c_2tg4vIBOARyhEeDBHKHMRBBNvDT_r_2tgyRWlO7QN2LhfnwQuLjiUwjIH,"""P"" is standing for ""Puke"".Don't reply to his vomit.He is reta_rd",u_xRc6VZMzGH60,2025-02-28 18:13:24,2025-03-01 14:16:16,4,1,2,231,101090,0
